t,P
0,0
20.11,616
40.22,2463.23
60.34,5539.43
80.45,9840.79
100.56,15362.03
120.67,22096.34
140.78,30035.42
160.89,39169.49
181.01,12371.82
201.12,15244.03
221.23,18405.46
241.34,21852.21
261.45,25580.04
281.56,29584.35
301.68,33860.22
321.79,38402.36
341.9,43205.2
362.01,48262.8
382.12,53568.94
402.23,59117.09
422.35,64900.4
442.46,70911.76
462.57,462862.49
482.68,501532.18
502.79,541431.98
522.91,582512.73
543.02,624723.82
563.13,668013.24
583.24,712327.67
603.35,126268.75
623.46,133968.66
643.58,141811.52
663.69,149787.67
683.8,157887.28
703.91,166100.37
724.02,174416.82
744.13,182826.39
764.25,191318.72
784.36,199883.35
804.47,208509.72
824.58,217187.2
844.69,225905.11
864.8,234652.71
884.92,243419.21
905.03,1008775.29
925.14,1043862.92
945.25,1078896.51
965.36,1113832.9
985.47,1148629.04
1005.59,1183242.08
1025.7,1217629.37
1045.81,1251748.53
1065.92,1285557.55
1086.03,329753.69
1106.15,338019.73
1126.26,346177.34
1146.37,354216.46
1166.48,362127.18
1186.59,369899.76
1206.7,377524.63
1226.82,384992.38
1246.93,392293.83
1267.04,399419.97
1287.15,406362.02
1307.26,413111.44
1327.37,419659.91
1347.49,425999.35
1367.6,2592731.81
1387.71,2628121.26
1407.82,2662120.87
1427.93,2694688.76
1448.04,2725784.79
1468.16,2755370.66
1488.27,463901.65
1508.38,468311.34
1528.49,472452.06
1548.6,476318.73
1568.72,479906.57
1588.83,483211.17
1608.94,486228.45
1629.05,488954.7
1649.16,491386.56
1669.27,493521.04
1689.39,495355.49
1709.5,496887.67
1729.61,498115.69
1749.72,499038.02
1769.83,499653.55
1789.94,499961.5
1810.06,1999845.99
1830.17,1998614.18
1850.28,1996152.09
1870.39,1992462.74
1890.5,1987550.68
1910.61,1981421.97
1930.73,1974084.14
1950.84,1965546.25
1970.95,1955818.81
1991.06,486228.45
2011.17,483211.17
2031.28,479906.57
2051.4,476318.73
2071.51,472452.06
2091.62,468311.34
2111.73,463901.65
2131.84,459228.44
2151.96,454297.46
2172.07,449114.79
2192.18,443686.81
2212.29,438020.21
2232.4,432121.97
2252.51,2555996.12
2272.63,2517959.44
2292.74,2478668.65
2312.85,2438172.14
2332.96,2396519.8
2353.07,2353762.96
2373.18,2309954.29
2393.3,377524.63
2413.41,369899.76
2433.52,362127.18
2453.63,354216.46
2473.74,346177.34
2493.85,338019.73
2513.97,329753.69
2534.08,321389.39
2554.19,312937.13
2574.3,304407.34
2594.41,295810.52
2614.53,287157.26
2634.64,278458.22
2654.75,269724.13
2674.86,260965.73
2694.97,252193.82
2715.08,973676.85
2735.2,938610.84
2755.31,903620.46
2775.42,868748.82
2795.53,834038.88
2815.64,799533.4
2835.75,765274.9
2855.87,731305.58
2875.98,697667.29
2896.09,166100.37
2916.2,157887.28
2936.31,149787.67
2956.42,141811.52
2976.54,133968.66
2996.65,126268.75
3016.76,118721.28
3036.87,111335.54
3056.98,104120.64
3077.09,97085.45
3097.21,90238.66
3117.32,83588.7
3137.43,77143.75
3157.54,425470.55
3177.65,389402.42
3197.77,354702.54
3217.88,321413.67
3237.99,289576.81
3258.1,259231.18
3278.21,230414.18
3298.32,33860.22
3318.44,29584.35
3338.55,25580.04
3358.66,21852.21
3378.77,18405.46
3398.88,15244.03
3418.99,12371.82
3439.11,9792.37
3459.22,7508.85
3479.33,5524.08
3499.44,3840.51
3519.55,2460.2
3539.66,1384.86
3559.78,615.81
3579.89,154
3600,0
