t,P
0,0
20.11,8774.95
40.22,17547.19
60.34,26314.03
80.45,35072.77
100.56,43820.7
120.67,52555.13
140.78,61273.38
160.89,69972.75
181.01,78650.57
201.12,87304.16
221.23,95930.86
241.34,104528.02
261.45,113092.97
281.56,121623.09
301.68,130115.75
321.79,138568.33
341.9,146978.22
362.01,932057.09
382.12,981957.74
402.23,1031555.93
422.35,1080836.37
442.46,188297.31
462.57,196397.24
482.68,204436.66
502.79,212413.11
522.91,220324.14
543.02,228167.3
563.13,235940.18
583.24,243640.39
603.35,251265.55
623.46,258813.31
643.58,266281.36
663.69,273667.38
683.8,280969.1
703.91,288184.29
724.02,295310.7
744.13,302346.15
764.25,309288.48
784.36,316135.53
804.47,322885.21
824.58,329535.43
844.69,336084.15
864.8,342529.35
884.92,348869.04
905.03,355101.27
925.14,361224.12
945.25,367235.71
965.36,373134.17
985.47,378917.71
1005.59,384584.53
1025.7,390132.89
1045.81,395561.08
1065.92,400867.43
1086.03,2436301.79
1106.15,2466648.58
1126.26,2496235.59
1146.37,2525053.71
1166.48,425515.67
1186.59,430058
1206.7,434467.85
1226.82,438743.88
1246.93,442884.76
1267.04,446889.23
1287.15,450756.04
1307.26,454484.02
1327.37,458072
1347.49,461518.88
1367.6,464823.61
1387.71,467985.15
1407.82,471002.55
1427.93,473874.87
1448.04,476601.23
1468.16,479180.78
1488.27,481612.74
1508.38,483896.34
1528.49,486030.9
1548.6,488015.74
1568.72,489850.27
1588.83,491533.91
1608.94,493066.15
1629.05,494446.51
1649.16,495674.57
1669.27,496749.96
1689.39,497672.33
1709.5,498441.41
1729.61,499056.95
1749.72,499518.78
1769.83,499826.74
1789.94,499980.75
1810.06,2999884.49
1830.17,2998960.46
1850.28,2997112.68
1870.39,2994341.72
1890.5,498441.41
1910.61,497672.33
1930.73,496749.96
1950.84,495674.57
1970.95,494446.51
1991.06,493066.15
2011.17,491533.91
2031.28,489850.27
2051.4,488015.74
2071.51,486030.9
2091.62,483896.34
2111.73,481612.74
2131.84,479180.78
2151.96,476601.23
2172.07,473874.87
2192.18,471002.55
2212.29,467985.15
2232.4,464823.61
2252.51,461518.88
2272.63,458072
2292.74,454484.02
2312.85,450756.04
2332.96,446889.23
2353.07,442884.76
2373.18,438743.88
2393.3,434467.85
2413.41,430058
2433.52,425515.67
2453.63,420842.28
2473.74,416039.27
2493.85,411108.1
2513.97,406050.3
2534.08,2405204.56
2554.19,2373366.47
2574.3,2340797.33
2594.41,384584.53
2614.53,378917.71
2634.64,373134.17
2654.75,367235.71
2674.86,361224.12
2694.97,355101.27
2715.08,348869.04
2735.2,342529.35
2755.31,336084.15
2775.42,329535.43
2795.53,322885.21
2815.64,316135.53
2835.75,309288.48
2855.87,302346.15
2875.98,295310.7
2896.09,288184.29
2916.2,280969.1
2936.31,273667.38
2956.42,266281.36
2976.54,258813.31
2996.65,251265.55
3016.76,243640.39
3036.87,235940.18
3056.98,228167.3
3077.09,220324.14
3097.21,212413.11
3117.32,204436.66
3137.43,196397.24
3157.54,188297.31
3177.65,180139.39
3197.77,171925.99
3217.88,163659.62
3237.99,155342.85
3258.1,881869.35
3278.21,831409.97
3298.32,780694.5
3318.44,121623.09
3338.55,113092.97
3358.66,104528.02
3378.77,95930.86
3398.88,87304.16
3418.99,78650.57
3439.11,69972.75
3459.22,61273.38
3479.33,52555.13
3499.44,43820.7
3519.55,35072.77
3539.66,26314.03
3559.78,17547.19
3579.89,8774.95
3600,0
3600,500000
