t,P
0,500000
20.11,500000
40.22,500000
60.34,500000
80.45,500000
100.56,500000
120.67,500000
140.78,500000
160.89,500000
181.01,500000
201.12,500000
221.23,500000
241.34,500000
261.45,500000
281.56,500000
301.68,500000
321.79,500000
341.9,500000
362.01,500000
382.12,500000
402.23,500000
422.35,500000
442.46,500000
462.57,3000000
482.68,3000000
502.79,3000000
522.91,3000000
543.02,3000000
563.13,3000000
583.24,3000000
603.35,3000000
623.46,3000000
643.58,500000
663.69,500000
683.8,500000
703.91,500000
724.02,500000
744.13,500000
764.25,500000
784.36,500000
804.47,500000
824.58,500000
844.69,500000
864.8,500000
884.92,500000
905.03,500000
925.14,500000
945.25,500000
965.36,500000
985.47,500000
1005.59,500000
1025.7,500000
1045.81,500000
1065.92,500000
1086.03,500000
1106.15,500000
1126.26,500000
1146.37,500000
1166.48,500000
1186.59,500000
1206.7,500000
1226.82,500000
1246.93,500000
1267.04,500000
1287.15,500000
1307.26,500000
1327.37,500000
1347.49,500000
1367.6,3000000
1387.71,3000000
1407.82,3000000
1427.93,3000000
1448.04,3000000
1468.16,3000000
1488.27,3000000
1508.38,3000000
1528.49,3000000
1548.6,500000
1568.72,500000
1588.83,500000
1608.94,500000
1629.05,500000
1649.16,500000
1669.27,500000
1689.39,500000
1709.5,500000
1729.61,500000
1749.72,500000
1769.83,500000
1789.94,500000
1810.06,500000
1830.17,500000
1850.28,500000
1870.39,500000
1890.5,500000
1910.61,500000
1930.73,500000
1950.84,500000
1970.95,500000
1991.06,500000
2011.17,500000
2031.28,500000
2051.4,500000
2071.51,500000
2091.62,500000
2111.73,500000
2131.84,500000
2151.96,500000
2172.07,500000
2192.18,500000
2212.29,500000
2232.4,500000
2252.51,3000000
2272.63,3000000
2292.74,3000000
2312.85,3000000
2332.96,3000000
2353.07,3000000
2373.18,3000000
2393.3,3000000
2413.41,3000000
2433.52,500000
2453.63,500000
2473.74,500000
2493.85,500000
2513.97,500000
2534.08,500000
2554.19,500000
2574.3,500000
2594.41,500000
2614.53,500000
2634.64,500000
2654.75,500000
2674.86,500000
2694.97,500000
2715.08,500000
2735.2,500000
2755.31,500000
2775.42,500000
2795.53,500000
2815.64,500000
2835.75,500000
2855.87,500000
2875.98,500000
2896.09,500000
2916.2,500000
2936.31,500000
2956.42,500000
2976.54,500000
2996.65,500000
3016.76,500000
3036.87,500000
3056.98,500000
3077.09,500000
3097.21,500000
3117.32,500000
3137.43,500000
3157.54,3000000
3177.65,3000000
3197.77,3000000
3217.88,3000000
3237.99,3000000
3258.1,3000000
3278.21,3000000
3298.32,3000000
3318.44,3000000
3338.55,500000
3358.66,500000
3378.77,500000
3398.88,500000
3418.99,500000
3439.11,500000
3459.22,500000
3479.33,500000
3499.44,500000
3519.55,500000
3539.66,500000
3559.78,500000
3579.89,500000
3600,500000
