t,P
0,2000000
20.11,2000000
40.22,2000000
60.34,2000000
80.45,2000000
100.56,2000000
120.67,2000000
140.78,2000000
160.89,2000000
181.01,600558.66
201.12,611731.84
221.23,622905.03
241.34,634078.21
261.45,645251.4
281.56,656424.58
301.68,667597.77
321.79,678770.95
341.9,689944.13
362.01,701117.32
382.12,712290.5
402.23,723463.69
422.35,734636.87
442.46,745810.06
462.57,3000000
482.68,3000000
502.79,3000000
522.91,3000000
543.02,3000000
563.13,3000000
583.24,3000000
603.35,835195.53
623.46,846368.72
643.58,857541.9
663.69,868715.08
683.8,879888.27
703.91,891061.45
724.02,902234.64
744.13,913407.82
764.25,924581.01
784.36,935754.19
804.47,946927.37
824.58,958100.56
844.69,969273.74
864.8,980446.93
884.92,991620.11
905.03,2000000
925.14,2000000
945.25,2000000
965.36,2000000
985.47,2000000
1005.59,2000000
1025.7,2000000
1045.81,2000000
1065.92,2000000
1086.03,1103351.96
1106.15,1114525.14
1126.26,1125698.32
1146.37,1136871.51
1166.48,1148044.69
1186.59,1159217.88
1206.7,1170391.06
1226.82,1181564.25
1246.93,1192737.43
1267.04,1203910.61
1287.15,1215083.8
1307.26,1226256.98
1327.37,1237430.17
1347.49,1248603.35
1367.6,3000000
1387.71,3000000
1407.82,3000000
1427.93,3000000
1448.04,3000000
1468.16,3000000
1488.27,1326815.64
1508.38,1337988.83
1528.49,1349162.01
1548.6,1360335.2
1568.72,1371508.38
1588.83,1382681.56
1608.94,1393854.75
1629.05,1405027.93
1649.16,1416201.12
1669.27,1427374.3
1689.39,1438547.49
1709.5,1449720.67
1729.61,1460893.85
1749.72,1472067.04
1769.83,1483240.22
1789.94,1494413.41
1810.06,2000000
1830.17,2000000
1850.28,2000000
1870.39,2000000
1890.5,2000000
1910.61,2000000
1930.73,2000000
1950.84,2000000
1970.95,2000000
1991.06,1393854.75
2011.17,1382681.56
2031.28,1371508.38
2051.4,1360335.2
2071.51,1349162.01
2091.62,1337988.83
2111.73,1326815.64
2131.84,1315642.46
2151.96,1304469.27
2172.07,1293296.09
2192.18,1282122.91
2212.29,1270949.72
2232.4,1259776.54
2252.51,3000000
2272.63,3000000
2292.74,3000000
2312.85,3000000
2332.96,3000000
2353.07,3000000
2373.18,3000000
2393.3,1170391.06
2413.41,1159217.88
2433.52,1148044.69
2453.63,1136871.51
2473.74,1125698.32
2493.85,1114525.14
2513.97,1103351.96
2534.08,1092178.77
2554.19,1081005.59
2574.3,1069832.4
2594.41,1058659.22
2614.53,1047486.03
2634.64,1036312.85
2654.75,1025139.66
2674.86,1013966.48
2694.97,1002793.3
2715.08,2000000
2735.2,2000000
2755.31,2000000
2775.42,2000000
2795.53,2000000
2815.64,2000000
2835.75,2000000
2855.87,2000000
2875.98,2000000
2896.09,891061.45
2916.2,879888.27
2936.31,868715.08
2956.42,857541.9
2976.54,846368.72
2996.65,835195.53
3016.76,824022.35
3036.87,812849.16
3056.98,801675.98
3077.09,790502.79
3097.21,779329.61
3117.32,768156.42
3137.43,756983.24
3157.54,3000000
3177.65,3000000
3197.77,3000000
3217.88,3000000
3237.99,3000000
3258.1,3000000
3278.21,3000000
3298.32,667597.77
3318.44,656424.58
3338.55,645251.4
3358.66,634078.21
3378.77,622905.03
3398.88,611731.84
3418.99,600558.66
3439.11,589385.47
3459.22,578212.29
3479.33,567039.11
3499.44,555865.92
3519.55,544692.74
3539.66,533519.55
3559.78,522346.37
3579.89,511173.18
3600,2000000
